commodity	snap_rank	snap_spending	snap_pct_of_total	nonsnap_rank	nonsnap_spending	nonsnap_pct_of_total
Frozen seafood	119	13.8	0.21	155	41.0	0.13
Flour & meals	120	13.8	0.21	126	65.7	0.21
Pickle/relish/pckld veg&olives	121	13.5	0.21	106	83.1	0.26
Turkey grinds	122	13.1	0.20	113	78.0	0.25
Bulk service case cheese	123	12.5	0.19	104	87.1	0.28
Pies	124	12.3	0.19	123	67.7	0.21
Water	125	12.3	0.19	122	67.8	0.22
Sushi	126	11.8	0.18	94	104.6	0.33
Teas	127	11.4	0.17	116	76.9	0.24
Authentic Hispanic foods&products	128	11.0	0.17	165	31.7	0.10
Cookie/cracker multi‐pks	129	10.9	0.16	136	52.7	0.17
Carrots	130	10.6	0.16	98	97.3	0.31
Pork shoulder	131	10.5	0.16	164	32.1	0.10
Cocoa mixes	132	10.4	0.16	153	43.0	0.14
Juices super premium	133	10.3	0.16	130	63.2	0.20
Snack meat	134	10.3	0.16	147	47.9	0.15
Seafood – catfish	135	9.8	0.15	191	17.6	0.06
Turkey frozen	136	9.7	0.15	138	51.8	0.16
Specialty cheese pre pack	137	9.6	0.15	67	152.4	0.48
Smoked pork	138	9.4	0.14	156	39.2	0.12
Frozen ice	139	9.3	0.14	142	49.9	0.16
Seafood – crab	140	9.2	0.14	182	24.5	0.08
Mushrooms	141	9.1	0.14	105	85.7	0.27
Value added vegetables	142	9.0	0.14	115	77.0	0.24
Seafood ‐ value added seafood	143	8.9	0.14	178	25.6	0.08
Sweet goods & snacks	144	8.6	0.13	146	48.3	0.15
Meat snacks	145	8.5	0.13	170	29.3	0.09
Single serve/vending ‐ salty snacks	146	8.4	0.13	197	15.8	0.05
Traditional Asian foods	147	8.3	0.13	134	59.8	0.19
Frozen juice and smoothies	148	7.7	0.12	150	44.9	0.14
Broccoli/cauliflower	149	7.4	0.11	118	76.5	0.24
Beef: rib	150	7.3	0.11	151	43.3	0.14
Refrigerated desserts	151	7.0	0.11	143	49.5	0.16
Croutons/bread stick&salad top	152	6.9	0.11	171	29.1	0.09
Dietary aid product/med liq nutr	153	6.8	0.10	132	62.9	0.20
Dressings/dips	154	6.6	0.10	139	51.7	0.16
Party tray	155	6.6	0.10	154	42.6	0.14
Corn	156	6.5	0.10	149	45.3	0.14
Canned & dry milk	157	6.1	0.09	163	33.1	0.10
Fitness & diet	158	5.8	0.09	101	95.8	0.30
Juice	159	5.8	0.09	148	46.2	0.15
Single serve sweet goods	160	5.7	0.09	196	16.2	0.05
Refrigerated hispanic grocery	161	5.7	0.09	177	26.5	0.08
Enhancements (Pickles/Spreads)	162	5.6	0.08	174	27.3	0.09
Convenience/snacking	163	5.5	0.08	173	28.5	0.09
Dried fruit	164	5.4	0.08	137	52.6	0.17
Seafood ‐ salmon‐farm raised	165	5.0	0.08	144	48.8	0.15
Frozen whipped topping	166	5.0	0.08	167	30.9	0.10
Deli meat: presliced	167	4.9	0.07	129	63.8	0.20
Herbs/garlic	168	4.8	0.07	141	50.0	0.16
Seafood ‐ party trays	169	4.8	0.07	181	24.8	0.08
Salad bar	170	4.5	0.07	188	18.2	0.06
Seafood ‐ salmon‐wild caught	171	4.5	0.07	158	36.7	0.12
Frozen fruits	172	4.3	0.07	145	48.6	0.15
Single serve/vending ‐ cookie/cracker	173	4.1	0.06	211	9.1	0.03
Chicken specialty/natural	174	3.8	0.06	166	31.5	0.10
Cereals	175	3.8	0.06	131	63.0	0.20
Pork offal	176	3.5	0.05	232	4.2	0.01
Pears	177	3.5	0.05	162	33.6	0.11
Frozen meatless	178	3.3	0.05	169	30.0	0.10
Seafood ‐ tilapia	179	3.2	0.05	194	16.4	0.05
Non‐dairy/dairy aseptic	180	3.1	0.05	168	30.5	0.10
Refrigerated italian	181	2.9	0.04	159	36.6	0.12
Rice cakes	182	2.8	0.04	184	22.4	0.07
Vinegar&cooking wines	183	2.8	0.04	176	27.2	0.09
Seafood ‐ salad/dip/sce/cond	184	2.8	0.04	223	6.2	0.02
Refrigerated vegetarian	185	2.8	0.04	180	24.8	0.08
Cake decor	186	2.7	0.04	199	15.4	0.05
Frozen pasta	187	2.6	0.04	193	16.9	0.05
Syrups toppings & cones	188	2.6	0.04	202	14.1	0.04
Snacks	189	2.6	0.04	157	37.6	0.12
Trail mix & snacks	190	2.5	0.04	189	18.1	0.06
Snack	191	2.5	0.04	160	35.6	0.11
Prepared/pdgd foods	192	2.3	0.04	161	34.1	0.11
Turkey fresh	193	2.3	0.04	192	17.0	0.05
Condiments	194	2.3	0.03	175	27.2	0.09
Seafood – fin fish other	195	2.2	0.03	225	5.8	0.02
Seafood ‐ lobster	196	2.2	0.03	204	13.0	0.04
Pre‐slice service case cheese	197	2.1	0.03	172	28.6	0.09
Spices/jarred garlic	198	2.1	0.03	205	12.4	0.04
Vegetables cooking packaged	199	2.0	0.03	187	18.3	0.06
Mixers	200	1.9	0.03	195	16.4	0.05
Poultry other	201	1.8	0.03	219	6.7	0.02
Pork bone in loin/rib	202	1.8	0.03	214	7.6	0.02
Turkey offal	203	1.6	0.02	235	2.0	0.01
Organics fruit & vegetables	204	1.6	0.02	185	22.2	0.07
Frozen ethnic	205	1.6	0.02	218	6.7	0.02
Lamb	206	1.6	0.02	207	11.4	0.04
Seasonal	207	1.5	0.02	209	10.3	0.03
Chicken offal	208	1.5	0.02	230	4.3	0.01
Turkey smoked	209	1.5	0.02	234	2.5	0.01
Seafood – cod	210	1.5	0.02	206	12.0	0.04
Frozen meat alternatives	211	1.5	0.02	203	13.6	0.04
Soup	212	1.4	0.02	179	25.4	0.08
Authentic central american fds	213	1.4	0.02	227	5.5	0.02
Cereal bars	214	1.4	0.02	183	23.6	0.07
Frozen entrees	215	1.4	0.02	186	21.5	0.07
Authentic asian foods	216	1.4	0.02	208	11.3	0.04
Bulk food	217	1.3	0.02	190	18.0	0.06
Baking	218	1.2	0.02	201	14.6	0.05
Random weight meat products	219	1.1	0.02	233	4.0	0.01
Processed (dry mixes / squeezed fruit)	220	1.0	0.02	222	6.2	0.02
Mediterranean bar	221	1.0	0.02	198	15.5	0.05
Chicken grinds	222	0.9	0.01	217	6.9	0.02
Chilled ready meals	223	0.9	0.01	231	4.2	0.01
Dry tea/coffee/coco mixes	224	0.9	0.01	210	9.2	0.03
Crackers	225	0.8	0.01	200	14.6	0.05
Seafood ‐ trout	226	0.7	0.01	224	6.0	0.02
Beverages	227	0.7	0.01	215	7.6	0.02
Seafood ‐ scallops	228	0.6	0.01	221	6.4	0.02
Baby food	229	0.6	0.01	226	5.5	0.02
Deli specialties (retail pk)	230	0.6	0.01	228	5.3	0.02
Buffalo	231	0.5	0.01	213	8.3	0.03
Seafood ‐ smoked seafood	232	0.5	0.01	212	8.4	0.03
Pork grinds	233	0.5	0.01	229	4.3	0.01
Authentic italian foods	234	0.5	0.01	216	7.4	0.02
Bakery party trays	235	0.4	0.01	236	1.9	0.01
Candy	236	0.4	0.01	220	6.5	0.02
Authentic caribbean foods	237	0.4	0.01	238	1.1	0.00
Seafood ‐ shellfish other	238	0.4	0.01	237	1.3	0.00
